triage_status,canonical_name,category,comedytickets_ids,comedytickets_names,comedytickets_event_count,comedytickets_location,city,state,country,first_party_url,detected_platform,matched_club_id,matched_club_name,matched_scraper_keys,duplicate_or_skip_reason,next_task
needs-manual-research,Bristol Hippodrome,theater_or_mixed_venue,1894,Bristol Hippodrome,5,Bristol,Bristol,,,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Broadway Theatre of Pitman,theater_or_mixed_venue,566,Broadway Theatre of Pitman,5,"Pitman, NJ",Pitman,NJ,US,,,,,,first-party source and scraper platform need verification,3589
needs-deny,"Chattanooga, TN",general_venue_candidate,2264,"Chattanooga, TN",6,"Chattanooga, TN",Chattanooga,TN,US,,,,,,"placeholder, event-specific, class/open-mic, or non-venue record; do not enable a venue scraper without canonical merge",3591
needs-manual-research,Chatterbox Jazz Club,general_venue_candidate,16032,Chatterbox Jazz Club,5,"435 Massachusetts Ave, Indianapolis, IN",Indianapolis,IN,US,,,,,,first-party source and scraper platform need verification,3589
already-covered,City Winery - New York,general_venue_candidate,780,City Winery - New York,7,"New York, NY",New York,NY,US,https://citywinery.com/pages/events/new-york-city,existing enabled source: city_winery,2420,City Winery - New York City,city_winery,fuzzy normalized name and geography; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,Claude's Comedy Club & Bar,dedicated_comedy_candidate,6017,Claude's Comedy Club & Bar,18,"Philadelphia, PA",Philadelphia,PA,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Club 337,general_venue_candidate,807,Club 337,18,"Lafayette, LA",Lafayette,LA,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Club Regent Event Centre,theater_or_mixed_venue,1381,Club Regent Event Centre,5,"Winnipeg, MB",Winnipeg,MB,CA,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Club Soda,general_venue_candidate,6614,Club Soda,5,"Montreal, Quebec",Quebec,,,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Comedy Bar - Danforth,dedicated_comedy_candidate,546,Comedy Bar - Danforth,26,"Toronto, ON",Toronto,ON,CA,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Comedy Bar - Toronto,dedicated_comedy_candidate,552,Comedy Bar - Toronto,14,"Toronto, ON",Toronto,ON,CA,,,,,,first-party source and scraper platform need verification,3590
already-covered,Comedy Cellar,dedicated_comedy_candidate,1760,Comedy Cellar,14,"Las Vegas, NV",Las Vegas,NV,US,,existing enabled source: ticketmaster_comedy,4548,Comedy Cellar at Rio Las Vegas,ticketmaster_comedy,manual alias to existing club; candidate should merge/use existing club rather than create a new scraper target,none
already-covered,Comedy Mothership - Fat Man,dedicated_comedy_candidate,905,Comedy Mothership - Fat Man,19,"Austin, TX",Austin,TX,US,https://comedymothership.com,existing enabled source: comedy_mothership,174,Comedy Mothership,comedy_mothership,manual alias to existing club; candidate should merge/use existing club rather than create a new scraper target,none
needs-deny,Comedy Store - Los Angeles (Belly Room),dedicated_comedy_candidate,3338,Comedy Store - Los Angeles (Belly Room),5,"West Hollywood, CA",West Hollywood,CA,US,,,,,,"room, time-slot, or stage-level record; merge to canonical venue before scraper onboarding",3591
already-covered,Count Basie Center for the Arts,theater_or_mixed_venue,511,Count Basie Center for the Arts,6,"Red Bank, NJ",Red Bank,NJ,US,,existing enabled source: ticketmaster_comedy,4638,The Vogel at Count Basie Center for the Arts,ticketmaster_comedy,fuzzy normalized name and geography; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,Dallas Comedy Club,dedicated_comedy_candidate,4325;4326;505,Dallas Comedy Club - Club Theater; Dallas Comedy Club - Mainstage Theater; Dallas Comedy Club,211,"Dallas, TX",Dallas,TX,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,DC Comedy Loft and Bier Baron Tavern,dedicated_comedy_candidate,583,DC Comedy Loft and Bier Baron Tavern,21,"Washington, DC",Washington,DC,US,,,,,,first-party source and scraper platform need verification,3588
already-covered,Denver Improv Comedy Theater and Restaurant,theater_or_mixed_venue,1139,Denver Improv Comedy Theater and Restaurant,37,"Denver, CO",Denver,CO,US,https://improv.com/denver/,existing enabled source: improv,56,Denver Improv,improv,fuzzy normalized name and geography; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,Des Moines Social Club,general_venue_candidate,2349,Des Moines Social Club,6,"Des Moines, IA",Des Moines,IA,US,,,,,,first-party source and scraper platform need verification,3589
already-covered,Dr. Grins Comedy Club at The B.O.B.,dedicated_comedy_candidate,611,Dr. Grins Comedy Club at The B.O.B.,13,"Grand Rapids, MI",Grand Rapids,MI,US,https://www.thebob.com/drgrins/,existing enabled source: dr_grins,207,Dr. Grins Comedy Club,dr_grins,manual alias to existing club; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,Eccles Theater,theater_or_mixed_venue,1503,Eccles Theater,5,"Salt Lake City, UT",Salt Lake City,UT,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Edinburgh Playhouse,general_venue_candidate,1895,Edinburgh Playhouse,6,Edinburgh,Edinburgh,,,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Elgin and Winter Garden Theatre Centre,theater_or_mixed_venue,3278,Elgin and Winter Garden Theatre Centre,6,"189 Yonge St #620, Toronto, ON",Toronto,ON,CA,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Ensemble Arts Philly,general_venue_candidate,1995,Ensemble Arts Philly,5,"Philadelphia, PA",Philadelphia,PA,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Eventim Apollo,theater_or_mixed_venue,1787,Eventim Apollo,12,London,London,,,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Fallout Theater,theater_or_mixed_venue,128,Fallout Theater,12,"616 Lavaca St, Austin, TX 78701, Austin, TX",Austin,TX,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Fat Black Pussycat,general_venue_candidate,7,Fat Black Pussycat,19,"130 W 3rd St, New York, NY 10012, New York, NY",New York,NY,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Flop House Comedy Club,dedicated_comedy_candidate,3,Flop House Comedy Club,12,"362 Grand St, Brooklyn, NY 11211, Brooklyn, NY",Brooklyn,NY,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Funny Bone Comedy Club - Albany,dedicated_comedy_candidate,604,Funny Bone Comedy Club - Albany,25,"Albany, NY",Albany,NY,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Funny Bone Comedy Club - Cincinnati,dedicated_comedy_candidate,647,Funny Bone Comedy Club - Cincinnati,13,"Liberty Township, OH",Liberty Township,OH,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Funny Bone Comedy Club - Cleveland,dedicated_comedy_candidate,736,Funny Bone Comedy Club - Cleveland,16,"Cleveland, OH",Cleveland,OH,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Funny Bone Comedy Club - Kansas City,dedicated_comedy_candidate,600,Funny Bone Comedy Club - Kansas City,18,"Kansas City, MO",Kansas City,MO,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Funny Bone Comedy Club - St. Louis,dedicated_comedy_candidate,3366,Funny Bone Comedy Club - St. Louis,6,"St. Louis, MO",St. Louis,MO,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Funny Bone Comedy Club - Syracuse,dedicated_comedy_candidate,3311,Funny Bone Comedy Club - Syracuse,30,"Syracuse, NY",Syracuse,NY,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Funny Bone Comedy Club - Toledo,dedicated_comedy_candidate,3288,Funny Bone Comedy Club - Toledo,13,"Perrysburg, OH",Perrysburg,OH,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Funny Bone Comedy Club Omaha NE,dedicated_comedy_candidate,1454,Funny Bone Comedy Club,19,"Omaha, NE",Omaha,NE,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Funny Bone Comedy Club Orlando FL,dedicated_comedy_candidate,480,Funny Bone Comedy Club,16,"Orlando, FL",Orlando,FL,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Funnybone Des Moines,general_venue_candidate,649,Funnybone Des Moines,13,"Des Moines, IA",Des Moines,IA,US,,,,,,first-party source and scraper platform need verification,3589
needs-deny,FUNY Stand Up Classes,class_or_open_mic,4156,FUNY Stand Up Classes,6,"New York, NY",New York,NY,US,,,,,,"placeholder, event-specific, class/open-mic, or non-venue record; do not enable a venue scraper without canonical merge",3591
needs-manual-research,Greenwich Village Comedy Club,dedicated_comedy_candidate,9,Greenwich Village Comedy Club,100,"99 MacDougal St, New York, NY 10012, New York, NY",New York,NY,US,,,,,,first-party source and scraper platform need verification,3588
already-covered,Ha Ha Cafe Comedy Club,dedicated_comedy_candidate,99,Ha Ha Cafe Comedy Club,24,"North Hollywood, CA",North Hollywood,CA,US,https://www.hahacomedyclub.com,existing enabled source: haha_comedy_club,163,HAHA Comedy Club,haha_comedy_club,fuzzy normalized name and geography; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,Harrah's Las Vegas,general_venue_candidate,2179,Harrah's Las Vegas,8,"Las Vegas, NV",Las Vegas,NV,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Helium Comedy Club - Buffalo,dedicated_comedy_candidate,732,Helium Comedy Club - Buffalo,22,"Buffalo, NY",Buffalo,NY,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,High Line Comedy Club,dedicated_comedy_candidate,2,High Line Comedy Club,6,"446 W 14th St, New York, NY 10014, New York, NY",New York,NY,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Hotel Blackfoot,general_venue_candidate,2832,Hotel Blackfoot,5,"Calgary, AB",Calgary,AB,CA,,,,,,first-party source and scraper platform need verification,3590
already-covered,House of Comedy Bloomington MN,dedicated_comedy_candidate,1122,House of Comedy,14,"Bloomington, MN",Bloomington,MN,US,https://moa.houseofcomedy.net,existing enabled source: house_of_comedy_bloomington,655,House of Comedy Bloomington,house_of_comedy_bloomington,fuzzy normalized name and geography; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,House of Comedy New Westminster BC,dedicated_comedy_candidate,1124,House of Comedy,7,"New Westminster, BC",New Westminster,BC,CA,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Howler Comedy Club,dedicated_comedy_candidate,977,Howler Comedy Club,5,"Lincoln, NE",Lincoln,NE,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Hyena's Comedy Night Club - Albuquerque,dedicated_comedy_candidate,620,Hyena's Comedy Night Club - Albuquerque,59,"2100 Louisiana Blvd NE #434, Albuquerque, NM",Albuquerque,NM,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Hyena's Comedy Night Club - Dallas,dedicated_comedy_candidate,584,Hyena's Comedy Night Club - Dallas,55,"5321 E Mockingbird Ln, Dallas, TX",Dallas,TX,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Hyena's Comedy Nightclub Fort Worth,dedicated_comedy_candidate,353,Hyena's Comedy Nightclub Fort Worth,55,"425 Commerce Street, Fort Worth, TX",Fort Worth,TX,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Kellar's Comedy Club,dedicated_comedy_candidate,899,Kellar's Comedy Club,5,"Erie, PA",Erie,PA,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,KGB Bar Red Room,general_venue_candidate,725,KGB Bar Red Room,5,"New York, NY",New York,NY,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,L'Olympia,general_venue_candidate,1752,L'Olympia,7,"Montreal, QC",Montreal,QC,CA,,,,,,first-party source and scraper platform need verification,3590
needs-deny,L.A. Comedy Club's Dragon Room,dedicated_comedy_candidate,1126,L.A. Comedy Club's Dragon Room,7,"Las Vegas, NV",Las Vegas,NV,US,,,,,,"room, time-slot, or stage-level record; merge to canonical venue before scraper onboarding",3591
needs-manual-research,Lafayette Comedy,dedicated_comedy_candidate,806,Lafayette Comedy,5,"Lafayette, LA",Lafayette,LA,US,,,,,,first-party source and scraper platform need verification,3588
already-covered,Laugh Factory at Horseshoe Las Vegas,dedicated_comedy_candidate,3290,Laugh Factory at Horseshoe Las Vegas,29,"Las Vegas, NV",Las Vegas,NV,US,https://www.laughfactory.com/las-vegas,existing enabled source: live_nation,172,Laugh Factory Las Vegas,live_nation,manual alias to existing club; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,Laugh Lounge,dedicated_comedy_candidate,773,Laugh Lounge,5,"Ottawa, ON",Ottawa,ON,CA,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Laugh Out Loud - San Antonio,dedicated_comedy_candidate,619,Laugh Out Loud - San Antonio,7,"San Antonio, TX",San Antonio,TX,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Laugh Out Loud Comedy Club,dedicated_comedy_candidate,273,Laugh Out Loud Comedy Club,56,"San Antonio, TX",San Antonio,TX,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Laugh Shop Calgary,dedicated_comedy_candidate,441,Laugh Shop Calgary,14,"Calgary, AB",Calgary,AB,CA,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Laughs Comedy Club,dedicated_comedy_candidate,129,Laughs Comedy Club,16,"5220 Roosevelt Way NE, Seattle, WA 98105, Seattle, WA",5220 Roosevelt Way NE,NE,US,,,,,,first-party source and scraper platform need verification,3588
already-covered,Laughs Unlimited Comedy Club and Lounge,dedicated_comedy_candidate,499,Laughs Unlimited Comedy Club and Lounge,7,"Sacramento, CA",Sacramento,CA,US,https://www.laughsunlimited.com,existing enabled source: seatengine,115,Laughs Unlimited,seatengine,fuzzy normalized name and geography; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,Le Point Virgule,general_venue_candidate,1271,Le Point Virgule,10,Paris,Paris,,,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Leicester Square Theatre,theater_or_mixed_venue,817,Leicester Square Theatre,9,"London, England",England,,,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Levity Live Oxnard,general_venue_candidate,105,Levity Live Oxnard,45,"Oxnard, CA",Oxnard,CA,US,,,,,,first-party source and scraper platform need verification,3589
needs-deny,"Lexington, KY",general_venue_candidate,9660,"Lexington, KY",12,"161 Lexington Green Cir # C4, Lexington, KY",Lexington,KY,US,,,,,,"placeholder, event-specific, class/open-mic, or non-venue record; do not enable a venue scraper without canonical merge",3591
needs-manual-research,Lillian S. Wells Hall at The Parker,theater_or_mixed_venue,1135,Lillian S. Wells Hall at The Parker,8,"Ft Lauderdale, FL",Ft Lauderdale,FL,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Loony Bin Comedy Club - Little Rock,dedicated_comedy_candidate,3317,Loony Bin Comedy Club - Little Rock,13,"Little Rock, AR",Little Rock,AR,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Loony Bin Comedy Club - Tulsa,dedicated_comedy_candidate,500,Loony Bin Comedy Club - Tulsa,34,"Tulsa, OK",Tulsa,OK,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Loony Bin Comedy Club - Wichita,dedicated_comedy_candidate,6078,Loony Bin Comedy Club - Wichita,9,"Wichita, KS",Wichita,KS,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Loony Bin Comedy Club Little Rock AR,dedicated_comedy_candidate,167,Loony Bin Comedy Club,5,"10301 N Rodney Parham Rd, Little Rock, AR 72227, Little Rock, AR",Little Rock,AR,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Loony Bin Comedy Club Wichita KS,dedicated_comedy_candidate,8685,Loony Bin Comedy Club,5,"Wichita, KS",Wichita,KS,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Lounge At The End Of The Universe,general_venue_candidate,377,Lounge At The End Of The Universe,9,"2417 Bank Dr, Boise, ID",Boise,ID,US,,,,,,first-party source and scraper platform need verification,3589
needs-deny,Martha Vineyard Comedy Fest - Week 2,festival_or_event,1458,Martha Vineyard Comedy Fest - Week 2,5,"Oak Bluffs, MA",Oak Bluffs,MA,US,,,,,,"placeholder, event-specific, class/open-mic, or non-venue record; do not enable a venue scraper without canonical merge",3591
already-covered,Mayo Civic Center,theater_or_mixed_venue,801,Mayo Civic Center,5,"Rochester, MN",Rochester,MN,US,,existing enabled source: ticketmaster_comedy,5144,Mayo Civic Center Arena,ticketmaster_comedy,fuzzy normalized name and geography; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,Monkey Barrel Comedy,dedicated_comedy_candidate,6050,Monkey Barrel Comedy,25,"Edinburgh, Scotland",Scotland,,,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Monkey Barrell Comedy,dedicated_comedy_candidate,14019,Monkey Barrell Comedy,23,"Edinburgh, UK",UK,,,,,,,,first-party source and scraper platform need verification,3590
needs-deny,Neon Room at Helium Comedy Club,dedicated_comedy_candidate,639,Neon Room at Helium Comedy Club,5,"Portland, OR",Portland,OR,US,,,,,,"room, time-slot, or stage-level record; merge to canonical venue before scraper onboarding",3591
already-covered,New Jersey Performing Arts Center,theater_or_mixed_venue,482,New Jersey Performing Arts Center,6,"Newark, NJ",Newark,NJ,US,https://www.njpac.org,existing enabled source: live_nation,2489,New Jersey Performing Arts Center - Prudential Hall,live_nation,fuzzy normalized name and geography; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,New York Comedy Club - Stamford,dedicated_comedy_candidate,405,New York Comedy Club - Stamford,100,"230 Tresser Blvd, Stamford, CT 06901, Stamford, CT",Stamford,CT,US,,,,,,first-party source and scraper platform need verification,3588
already-covered,North Charleston Coliseum & Performing Arts Center,theater_or_mixed_venue,509,North Charleston Coliseum & Performing Arts Center,5,"North Charleston, SC",North Charleston,SC,US,https://www.northcharlestoncoliseumpac.com,existing enabled source: live_nation,2498,North Charleston Performing Arts Center,live_nation,fuzzy normalized name and geography; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,O2 Apollo Manchester,theater_or_mixed_venue,1846,O2 Apollo Manchester,9,Manchester,Manchester,,,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Old National Centre,theater_or_mixed_venue,1300,Old National Centre,5,"Indianapolis, IN",Indianapolis,IN,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Olsen Run Comedy Club and Lounge,dedicated_comedy_candidate,477,Olsen Run Comedy Club and Lounge,30,"Eugene, OR",Eugene,OR,US,,,,,,first-party source and scraper platform need verification,3588
needs-deny,Open Mic at FUNY Stand Up Classes,class_or_open_mic,731,Open Mic at FUNY Stand Up Classes,14,"New York, NY",New York,NY,US,,,,,,"placeholder, event-specific, class/open-mic, or non-venue record; do not enable a venue scraper without canonical merge",3591
needs-manual-research,OVO Hydro,theater_or_mixed_venue,1893,OVO Hydro,12,Glasgow,Glasgow,,,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Playhouse Square,general_venue_candidate,529,Playhouse Square,5,"Cleveland, OH",Cleveland,OH,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Punch Line Dallas,dedicated_comedy_candidate,654,Punch Line Dallas,33,"Irving, TX",Irving,TX,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Punch Line Philadelphia,dedicated_comedy_candidate,12591,Punch Line Philadelphia,17,"Philadelphia, PA",Philadelphia,PA,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Punchline Comedy Club - Atlanta,dedicated_comedy_candidate,503,Punchline Comedy Club - Atlanta,11,"Atlanta, GA",Atlanta,GA,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Quezada's Comedy Club & Catina,dedicated_comedy_candidate,628,Quezada's Comedy Club & Catina,51,"Santa Ana Pueblo, NM",Santa Ana Pueblo,NM,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Rebecca Cohn Auditorium,theater_or_mixed_venue,1850,Rebecca Cohn Auditorium,5,"Halifax, NS",Halifax,NS,CA,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Rialto Casper,general_venue_candidate,1283,Rialto Casper,16,"Casper, WY",Casper,WY,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Rialto Theatre,theater_or_mixed_venue,527,Rialto Theatre,8,"Tucson, AZ",Tucson,AZ,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Rick Bronson's - The Comic Strip,general_venue_candidate,1092,Rick Bronson's - The Comic Strip,9,"Edmonton, AB",Edmonton,AB,CA,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Rick Bronson's House of Comedy BC,dedicated_comedy_candidate,680,Rick Bronson's House of Comedy BC,23,"New Westminster, BC",New Westminster,BC,CA,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Rio Suite Hotel & Casino,theater_or_mixed_venue,1583,Rio Suite Hotel & Casino,15,"Las Vegas, NV",Las Vegas,NV,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,River: A Waterfront Restaurant and Bar,general_venue_candidate,2595,River: A Waterfront Restaurant and Bar,24,"Wethersfield, CT",Wethersfield,CT,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Robert Kirk Walker Theatre,theater_or_mixed_venue,1103,Robert Kirk Walker Theatre,5,"Chattanooga, TN",Chattanooga,TN,US,,,,,,first-party source and scraper platform need verification,3589
needs-deny,Room 52,general_venue_candidate,4155,Room 52,26,"New York, NY",New York,NY,US,,,,,,"room, time-slot, or stage-level record; merge to canonical venue before scraper onboarding",3591
already-covered,Rose City Comedy - 9PM,dedicated_comedy_candidate,3342,Rose City Comedy - 9PM,16,"117 W Front St, Tyler, TX",Tyler,TX,US,https://rosecitycomedy.club,existing enabled source: tixr,1023,Rose City Comedy,tixr,fuzzy normalized name and geography; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,Salle Pierre Mercure,general_venue_candidate,2339,Salle Pierre Mercure,8,"Montreal, QC",Montreal,QC,CA,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,San Antonio Improv,dedicated_comedy_candidate,404,San Antonio Improv,55,"849 E Commerce St #311, San Antonio, TX 78205, San Antonio, TX",San Antonio,TX,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Saratoga Springs City Center,theater_or_mixed_venue,784,Saratoga Springs City Center,6,"Saratoga Springs, NY",Saratoga Springs,NY,US,,,,,,first-party source and scraper platform need verification,3589
needs-deny,Seattle,general_venue_candidate,14202,Seattle,6,"Seattle, WA",Seattle,WA,US,,,,,,"placeholder, event-specific, class/open-mic, or non-venue record; do not enable a venue scraper without canonical merge",3591
needs-manual-research,"Sesh Comedy, Chrystie",dedicated_comedy_candidate,3270,"Sesh Comedy, Chrystie",13,"New York, NY",New York,NY,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Silver Legacy Resort Casino,theater_or_mixed_venue,1137,Silver Legacy Resort Casino,20,"Reno, NV",Reno,NV,US,,,,,,first-party source and scraper platform need verification,3589
needs-deny,Skankfest New Orleans,festival_or_event,8193,Skankfest New Orleans,7,"New Orleans, LA",New Orleans,LA,US,,,,,,"placeholder, event-specific, class/open-mic, or non-venue record; do not enable a venue scraper without canonical merge",3591
already-covered,Skyline Comedy Cafe,dedicated_comedy_candidate,85,Skyline Comedy Cafe,100,"Appleton, WI",Appleton,WI,US,https://www.skylinecomedy.com,existing enabled source: seatengine_classic,1057,Skyline Comedy Club,seatengine_classic,fuzzy normalized name and geography; candidate should merge/use existing club rather than create a new scraper target,none
needs-deny,Skyline Comedy Club - 7PM,dedicated_comedy_candidate,2359,Skyline Comedy Club - 7PM,21,"Appleton, WI",Appleton,WI,US,,,,,,"room, time-slot, or stage-level record; merge to canonical venue before scraper onboarding",3591
needs-manual-research,Soul Joel's,general_venue_candidate,577,Soul Joel's,12,"Pottstown, PA",Pottstown,PA,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Soul Joel's Comedy Club & Lounge,dedicated_comedy_candidate,320,Soul Joel's Comedy Club & Lounge,5,"401 S. Schuylkill Ave, Jeffersonville, Jeffersonville,, PA",Jeffersonville,PA,US,,,,,,first-party source and scraper platform need verification,3588
